"Date","Price","Open","High","Low","Vol.","Change %"
"09/20/2024","3,690","3,670","3,740","3,640","152.24M","0.82%"
"09/19/2024","3,660","3,660","3,700","3,580","127.74M","0.27%"
"09/18/2024","3,650","3,760","3,780","3,640","101.84M","-2.93%"
"09/17/2024","3,760","3,670","3,780","3,570","136.51M","2.45%"
"09/13/2024","3,670","3,840","3,840","3,660","208.79M","-4.68%"
"09/12/2024","3,850","3,920","4,050","3,800","531.57M","9.38%"
"09/11/2024","3,520","3,490","3,530","3,470","81.32M","0.86%"
"09/10/2024","3,490","3,490","3,560","3,440","74.74M","0.00%"
"09/09/2024","3,490","3,470","3,500","3,390","82.18M","0.58%"
"09/06/2024","3,470","3,530","3,540","3,460","45.22M","-2.25%"
"09/05/2024","3,550","3,560","3,570","3,460","64.91M","-0.28%"
"09/04/2024","3,560","3,540","3,630","3,490","73.57M","-1.11%"
"09/03/2024","3,600","3,610","3,630","3,560","45.07M","-0.28%"
"09/02/2024","3,610","3,590","3,650","3,570","96.35M","1.40%"
"08/30/2024","3,560","3,540","3,590","3,510","95.77M","1.14%"
"08/29/2024","3,520","3,540","3,590","3,500","63.22M","-0.28%"
"08/28/2024","3,530","3,550","3,560","3,500","50.93M","0.28%"
"08/27/2024","3,520","3,510","3,570","3,460","66.09M","0.86%"
"08/26/2024","3,490","3,490","3,500","3,430","50.56M","0.58%"
"08/23/2024","3,470","3,370","3,480","3,370","118.01M","3.27%"
"08/22/2024","3,360","3,240","3,390","3,200","113.36M","3.07%"
"08/21/2024","3,260","3,280","3,300","3,240","40.80M","-0.31%"
"08/20/2024","3,270","3,280","3,290","3,240","28.24M","-0.30%"
"08/19/2024","3,280","3,270","3,300","3,240","27.88M","0.00%"
"08/16/2024","3,280","3,230","3,300","3,230","75.45M","2.18%"
"08/15/2024","3,210","3,220","3,220","3,170","35.27M","-0.31%"
"08/14/2024","3,220","3,230","3,240","3,200","32.40M","-0.31%"
"08/13/2024","3,230","3,250","3,270","3,190","57.59M","-0.31%"
"08/12/2024","3,240","3,190","3,240","3,180","55.56M","1.89%"
"08/09/2024","3,180","3,210","3,220","3,150","38.36M","-0.31%"
"08/08/2024","3,190","3,210","3,230","3,160","33.58M","-1.24%"
"08/07/2024","3,230","3,210","3,270","3,200","52.50M","1.57%"
"08/06/2024","3,180","3,160","3,200","3,080","92.35M","2.91%"
"08/05/2024","3,090","3,270","3,270","3,070","136.21M","-6.93%"
"08/02/2024","3,320","3,240","3,370","3,230","72.66M","2.15%"
"08/01/2024","3,250","3,220","3,250","3,170","36.35M","0.93%"
"07/31/2024","3,220","3,250","3,270","3,200","44.87M","-0.31%"
"07/30/2024","3,230","3,200","3,250","3,180","46.60M","1.57%"
"07/29/2024","3,180","3,180","3,220","3,170","27.18M","0.00%"
"07/26/2024","3,180","3,150","3,190","3,130","26.61M","1.60%"
"07/25/2024","3,130","3,160","3,200","3,120","32.06M","-1.26%"
"07/24/2024","3,170","3,140","3,190","3,120","34.90M","1.28%"
"07/23/2024","3,130","3,190","3,240","3,130","33.53M","-1.88%"
"07/22/2024","3,190","3,100","3,230","3,100","67.92M","2.90%"
"07/19/2024","3,100","3,040","3,150","3,040","112.25M","2.31%"
"07/18/2024","3,030","2,890","3,040","2,870","103.27M","4.48%"
"07/17/2024","2,900","2,890","2,910","2,870","30.25M","1.05%"
"07/16/2024","2,870","2,900","2,900","2,850","15.56M","0.00%"
"07/15/2024","2,870","2,830","2,870","2,830","28.32M","1.41%"
"07/12/2024","2,830","2,850","2,860","2,800","33.01M","-1.05%"
"07/11/2024","2,860","2,900","2,900","2,860","14.11M","-1.38%"
"07/10/2024","2,900","2,900","2,930","2,880","15.58M","0.00%"
"07/09/2024","2,900","2,910","2,920","2,880","33.91M","0.00%"
"07/08/2024","2,900","2,910","2,910","2,880","19.29M","-0.34%"
"07/05/2024","2,910","2,870","2,910","2,860","19.04M","1.75%"
"07/04/2024","2,860","2,900","2,910","2,860","21.48M","-1.04%"
"07/03/2024","2,890","2,850","2,920","2,840","37.20M","1.76%"
"07/02/2024","2,840","2,800","2,860","2,800","23.64M","1.43%"
"07/01/2024","2,800","2,790","2,840","2,760","20.22M","0.36%"
"06/28/2024","2,790","2,750","2,800","2,750","29.76M","1.45%"
"06/27/2024","2,750","2,750","2,780","2,720","24.92M","0.00%"
"06/26/2024","2,750","2,710","2,760","2,700","18.96M","1.48%"
"06/25/2024","2,710","2,710","2,720","2,680","17.17M","-0.37%"
"06/24/2024","2,720","2,730","2,740","2,700","15.50M","-0.37%"
"06/21/2024","2,730","2,730","2,780","2,720","43.67M","0.00%"
"06/20/2024","2,730","2,690","2,730","2,660","18.17M","2.63%"
"06/19/2024","2,660","2,780","2,790","2,640","45.62M","-4.32%"
"06/14/2024","2,780","2,810","2,810","2,740","23.15M","0.00%"
"06/13/2024","2,780","2,820","2,830","2,750","23.16M","-0.36%"
"06/12/2024","2,790","2,740","2,810","2,730","41.92M","2.57%"
"06/11/2024","2,720","2,750","2,770","2,720","27.03M","-1.09%"
"06/10/2024","2,750","2,840","2,850","2,710","48.41M","-3.17%"
"06/07/2024","2,840","2,850","2,890","2,820","25.35M","-0.35%"
"06/06/2024","2,850","2,880","2,880","2,820","24.30M","-0.70%"
"06/05/2024","2,870","2,900","2,910","2,840","41.11M","-1.71%"
"06/04/2024","2,920","2,900","2,940","2,850","64.39M","-0.34%"
"06/03/2024","2,930","2,800","2,930","2,800","84.42M","5.78%"
"05/31/2024","2,770","2,750","2,810","2,730","95.44M","1.09%"
"05/30/2024","2,740","2,680","2,770","2,680","47.28M","2.24%"
"05/29/2024","2,680","2,690","2,710","2,660","23.08M","-0.37%"
