Date;Price 
07/10/2024;2666.7
06/10/2024;2669.65
04/10/2024;2667.8
03/10/2024;2679.2
02/10/2024;2669.7
01/10/2024;2690.3
30/09/2024;2659.4
27/09/2024;2668.1
26/09/2024;2682.9
25/09/2024;2673
24/09/2024;2665.2
23/09/2024;2640.9
20/09/2024;2634.6
19/09/2024;2602.9
18/09/2024;2587
17/09/2024;2580.8
16/09/2024;2597.3
13/09/2024;2599.1
12/09/2024;2569.1
11/09/2024;2530.9
10/09/2024;2531.6
09/09/2024;2521.3
06/09/2024;2513.2
05/09/2024;2531.6
04/09/2024;2514.4
03/09/2024;2511.4
30/08/2024;2516
29/08/2024;2547.7
28/08/2024;2514.3
27/08/2024;2529.3
26/08/2024;2531.4
23/08/2024;2522.6
22/08/2024;2493.5
21/08/2024;2524.1
20/08/2024;2527.4
19/08/2024;2518.1
16/08/2024;2514.5
15/08/2024;2469.4
14/08/2024;2457.1
13/08/2024;2484.9
12/08/2024;2480.8
09/08/2024;2450.4
08/08/2024;2440.8
07/08/2024;2410.3
06/08/2024;2409.3
05/08/2024;2422.6
02/08/2024;2447.3
01/08/2024;2457.1
31/07/2024;2449.3
30/07/2024;2428.4
29/07/2024;2390.7
26/07/2024;2393.7
25/07/2024;2366.1
24/07/2024;2428.7
23/07/2024;2420.2
22/07/2024;2407.7
19/07/2024;2412.2
18/07/2024;2469.8
17/07/2024;2473.2
16/07/2024;2481
15/07/2024;2442.1
12/07/2024;2433.8
11/07/2024;2434.9
10/07/2024;2392.5
09/07/2024;2380.5
08/07/2024;2376.2
05/07/2024;2410.2
04/07/2024;2364.6
03/07/2024;2381.9
02/07/2024;2345.6
01/07/2024;2350.8
28/06/2024;2350.9
27/06/2024;2348.7
26/06/2024;2313.2
25/06/2024;2330.8
24/06/2024;2344.4
21/06/2024;2331.2
20/06/2024;2369
19/06/2024;2343
18/06/2024;2346.9
17/06/2024;2329
14/06/2024;2349.1
13/06/2024;2318
12/06/2024;2354.8
11/06/2024;2326.6
10/06/2024;2327
07/06/2024;2325
06/06/2024;2390.9
05/06/2024;2375.5
04/06/2024;2347.4
03/06/2024;2369.3
31/05/2024;2345.8
30/05/2024;2366.5
29/05/2024;2352
28/05/2024;2367.3
27/05/2024;2356.5
24/05/2024;2345.4
23/05/2024;2348.2
22/05/2024;2403.7
